subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,STUDY2,160,0,329616.2170894065
SC000,0,STUDY2,161,0,329622.3963094565
SC000,0,STUDY2,162,0,329628.7622279825
SC000,0,STUDY2,163,0,329635.21677206794
SC000,0,STUDY2,164,0,329641.5877139465
SC000,0,STUDY2,165,0,329647.04762203305
SC000,0,STUDY2,166,0,329653.4722849465
SC000,0,STUDY2,167,0,329659.90775447246
SC000,0,STUDY2,168,0,329665.9827898565
SC000,0,STUDY2,169,0,329672.31954630103
SC000,0,STUDY2,170,0,329678.6644464235
SC000,0,STUDY2,171,0,329685.793964521
SC000,0,STUDY2,172,0,329692.31281443546
SC000,0,STUDY2,173,0,329698.47650467
SC000,0,STUDY2,174,0,329705.047355572
SC000,0,STUDY2,175,0,329711.1789430455
SC000,0,STUDY2,176,0,329717.4423310555
SC000,0,STUDY2,177,0,329723.56097830646
SC000,0,STUDY2,178,0,329729.64271302754
SC000,0,STUDY2,179,0,329735.89479100704
SC000,0,STUDY2,180,0,329742.099516779
SC000,0,STUDY2,181,0,329748.60840690904
SC000,0,STUDY2,182,0,329755.0322785005
SC000,0,STUDY2,183,0,329761.2512319735
SC000,0,STUDY2,184,0,329767.527066499
SC000,0,STUDY2,185,0,329774.392851801
SC000,0,STUDY2,186,0,329780.90356607246
SC000,0,STUDY2,187,0,329787.39232475753
SC000,0,STUDY2,188,0,329793.556418017
SC000,0,STUDY2,189,0,329800.435079368
SC000,0,STUDY2,190,0,329806.7857952555
SC000,0,STUDY2,191,0,329813.1985474295
SC000,0,STUDY2,192,0,329819.34420206805
SC000,0,STUDY2,193,0,329825.36148931447
SC000,0,STUDY2,194,0,329831.476769767
SC000,0,STUDY2,195,0,329837.8034401715
SC000,0,STUDY2,196,0,329844.9184166855
SC000,0,STUDY2,197,0,329850.7426016055
SC000,0,STUDY2,198,0,329856.9180901585
SC000,0,STUDY2,199,0,329863.667218162
SC000,0,STUDY2,200,0,329869.740249321
SC000,0,STUDY2,201,0,329876.26725724153
SC000,0,STUDY2,202,0,329883.27673357853
SC000,0,STUDY2,203,0,329889.6307469255
SC000,0,STUDY2,204,0,329896.1113446175
SC000,0,STUDY2,205,0,329903.29473129904
SC000,0,STUDY2,206,0,329909.86970791104
SC000,0,STUDY2,207,0,329916.201054806
SC000,0,STUDY2,208,0,329923.2496850105
SC000,0,STUDY2,209,0,329930.84919209697
SC000,0,STUDY2,210,0,329938.0174224415
SC000,0,STUDY2,211,0,329943.9934744885
SC000,0,STUDY2,212,0,329949.9332632725
SC000,0,STUDY2,213,0,329956.326677114
SC000,0,STUDY2,214,0,329963.31694587204
SC000,0,STUDY2,215,0,329969.874058055
SC000,0,TEST,0,0,330371.696176479
SC000,0,TEST,1,0,330379.4071122225
SC000,0,TEST,2,0,330386.31105168746
SC000,0,TEST,3,0,330392.867606184
SC000,0,TEST,4,0,330400.06000422896
SC000,0,TEST,5,0,330407.1785014805
SC000,0,TEST,6,0,330414.1629118535
SC000,0,TEST,7,0,330420.9636651965
SC000,0,TEST,8,0,330429.53464494797
SC000,0,TEST,9,0,330436.2598872285
SC000,0,TEST,10,0,330442.8081830195
SC000,0,TEST,11,0,330449.119668575
SC000,0,TEST,12,0,330455.5800314845
SC000,0,TEST,13,0,330462.374112937
SC000,0,TEST,14,0,330469.026856308
SC000,0,TEST,15,0,330475.3430320575
SC000,0,TEST,16,0,330481.794466236
SC000,0,TEST,17,0,330489.7736844345
SC000,0,TEST,18,0,330497.4247045845
SC000,0,TEST,19,0,330504.00702629297
SC000,0,TEST,20,0,330510.1001850375
SC000,0,TEST,21,0,330516.5109246195
SC000,0,TEST,22,0,330524.2768178325
SC000,0,TEST,23,0,330531.49920648756
SC000,0,TEST,24,0,330539.0820799875
SC000,0,TEST,25,0,330546.5987347365
SC000,0,TEST,26,0,330553.23293523653
SC000,0,TEST,27,0,330559.6843761235
SC000,0,TEST,28,0,330567.61637716996
SC000,0,TEST,29,0,330574.0087551635
SC000,0,TEST,30,0,330580.078042529
SC000,0,TEST,31,0,330586.45834485
SC000,0,TEST,32,0,330592.859031318
SC000,0,TEST,33,0,330599.201466764
SC000,0,TEST,34,0,330606.0480404005
SC000,0,TEST,35,0,330613.1330792605
SC000,0,TEST,36,0,330619.289915642
SC000,0,TEST,37,0,330626.8257213795
SC000,0,TEST,38,0,330635.08218701347
SC000,0,TEST,39,0,330642.123138278
SC000,0,TEST,40,0,330649.4135678485
SC000,0,TEST,41,0,330656.85306017497
SC000,0,TEST,42,0,330663.08847918746
SC000,0,TEST,43,0,330670.279497442
SC000,0,TEST,44,0,330677.5279703935
SC000,0,TEST,45,0,330684.237929048
SC000,0,TEST,46,0,330690.53703204147
SC000,0,TEST,47,0,330698.183626917
SC000,0,TEST,48,0,330705.035694015
SC000,0,TEST,49,0,330710.7272146655
SC000,0,TEST,50,0,330718.294118873
SC000,0,TEST,51,0,330725.418383269
SC000,0,TEST,52,0,330731.6891113455
SC000,0,TEST,53,0,330738.3337864695
SC000,0,TEST,54,0,330745.98568177153
SC000,0,TEST,55,0,330752.342194573
SC000,0,TEST,56,0,330759.8488620895
SC000,0,TEST,57,0,330766.4892273955
SC000,0,TEST,58,0,330773.62370185
SC000,0,TEST,59,0,330780.2954124515
SC000,0,TEST,60,0,330786.3770952545
SC000,0,TEST,61,0,330792.919811203
SC000,0,TEST,62,0,330799.096426701
SC000,0,TEST,63,0,330806.61771926645
SC000,0,TEST,64,0,330812.56115799455
SC000,0,TEST,65,0,330818.98633255996
SC000,0,TEST,66,0,330826.0612082505
SC000,0,TEST,67,0,330832.645557384
SC000,0,TEST,68,0,330838.658088564
SC000,0,TEST,69,0,330844.94786246
SC000,0,TEST,70,0,330850.93639921246
SC000,0,TEST,71,0,330857.17891951953
SC000,0,TEST,72,0,330864.3313748925
SC000,0,TEST,73,0,330870.7141950535
SC000,0,TEST,74,0,330877.721704824
SC000,0,TEST,75,0,330884.741774232
SC000,0,TEST,76,0,330891.27706319303
SC000,0,TEST,77,0,330897.445904067
SC000,0,TEST,78,0,330903.729681213
SC000,0,TEST,79,0,330909.80515324755
SC000,0,TEST,80,0,330916.192795811
SC000,0,TEST,81,0,330922.621997131
SC000,0,TEST,82,0,330928.7856512745
SC000,0,TEST,83,0,330934.9224532285
SC000,0,TEST,84,0,330940.9830529435
SC000,0,TEST,85,0,330947.443561629
SC000,0,TEST,86,0,330953.4821226675
SC000,0,TEST,87,0,330959.6765228215
SC000,0,TEST,88,0,330966.8673616925
SC000,0,TEST,89,0,330973.2466669585
SC000,0,TEST,90,0,330980.4298164675
SC000,0,TEST,91,0,330986.97840547655
SC000,0,TEST,92,0,330993.727262921
SC000,0,TEST,93,0,331000.013239512
SC000,0,TEST,94,0,331007.30438842403
