subject,session,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,STUDY1,215,328096723.74049103,0,328100.7989677055
SC000,0,SYNC_PULSE_TEST,-1,328511910.371418,0,328511.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328512907.00528395,0,328512.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328513906.868627,0,328513.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328514907.09432304,0,328514.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328515907.05295795,0,328515.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328516907.065408,0,328516.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328517907.083828,0,328517.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328518907.278615,0,328518.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328519907.281399,0,328519.90656986553
SC000,0,SYNC_PULSE_TEST,-1,328520907.353279,0,328520.90656986553
SC000,0,STUDY2,0,328542909.342737,0,328546.2667035735
SC000,0,STUDY2,1,328549267.110752,0,328553.069832167
SC000,0,STUDY2,2,328556070.122016,0,328559.4773486805
SC000,0,STUDY2,3,328562477.581523,0,328567.0341345585
SC000,0,STUDY2,4,328570034.368098,0,328573.8181916155
SC000,0,STUDY2,5,328576818.47510105,0,328580.45981672546
SC000,0,STUDY2,6,328583464.272461,0,328586.57426853455
SC000,0,STUDY2,7,328589579.559044,0,328593.438196162
SC000,0,STUDY2,8,328596438.490031,0,328599.716668849
SC000,0,STUDY2,9,328602717.709971,0,328605.922322651
SC000,0,STUDY2,10,328608927.68241304,0,328612.089033552
SC000,0,STUDY2,11,328615089.482856,0,328618.5341057
SC000,0,STUDY2,12,328621534.574339,0,328624.6949543855
SC000,0,STUDY2,13,328627695.211263,0,328631.87365911
SC000,0,STUDY2,14,328634874.453463,0,328638.8949806665
SC000,0,STUDY2,15,328641895.36707497,0,328646.7745094765
SC000,0,STUDY2,16,328649775.417593,0,328654.03454421996
SC000,0,STUDY2,17,328657034.990707,0,328660.2968193405
SC000,0,STUDY2,18,328663297.156569,0,328667.9208267405
SC000,0,STUDY2,19,328670925.876707,0,328675.44783132046
SC000,0,STUDY2,20,328678453.137953,0,328682.2686276465
SC000,0,STUDY2,21,328685269.020226,0,328689.831181161
SC000,0,STUDY2,22,328692831.951052,0,328696.7388881845
SC000,0,STUDY2,23,328699743.161785,0,328703.5911021135
SC000,0,STUDY2,24,328706596.734208,0,328710.865895853
SC000,0,STUDY2,25,328713866.445909,0,328718.0057141765
SC000,0,STUDY2,26,328721006.032476,0,328724.9819465545
SC000,0,STUDY2,27,328727983.131644,0,328732.04039479804
SC000,0,STUDY2,28,328735040.926955,0,328738.3435480405
SC000,0,STUDY2,29,328741344.25133,0,328744.63292062597
SC000,0,STUDY2,30,328747633.569792,0,328751.418892612
SC000,0,STUDY2,31,328754425.024025,0,328758.35762547946
SC000,0,STUDY2,32,328761357.920383,0,328764.708911611
SC000,0,STUDY2,33,328767709.340165,0,328772.06852146296
SC000,0,STUDY2,34,328775073.746198,0,328778.9492406625
SC000,0,STUDY2,35,328781949.71107596,0,328785.5171426645
SC000,0,STUDY2,36,328788517.445033,0,328792.58221148
SC000,0,STUDY2,37,328795582.851647,0,328799.065396516
SC000,0,STUDY2,38,328802065.572312,0,328806.2361252755
SC000,0,STUDY2,39,328809242.2449,0,328814.147274778
SC000,0,STUDY2,40,328817151.828888,0,328821.469095353
SC000,0,STUDY2,41,328824469.71815205,0,328827.949252453
SC000,0,STUDY2,42,328830955.151617,0,328834.1350524205
SC000,0,STUDY2,43,328837141.010588,0,328841.25455344445
SC000,0,STUDY2,44,328844255.227883,0,328847.87612952746
SC000,0,STUDY2,45,328850876.864595,0,328854.2564568495
SC000,0,STUDY2,46,328857257.11218697,0,328860.8983991815
SC000,0,STUDY2,47,328863903.142328,0,328867.2956567375
SC000,0,STUDY2,48,328870296.432055,0,328873.644219232
SC000,0,STUDY2,49,328876644.434656,0,328879.9874456015
SC000,0,STUDY2,50,328882987.690977,0,328886.3266956895
SC000,0,STUDY2,51,328889327.161891,0,328892.5618907985
SC000,0,STUDY2,52,328895562.241189,0,328899.0987756615
SC000,0,STUDY2,53,328902099.368303,0,328905.434263143
SC000,0,STUDY2,54,328908434.431848,0,328912.2474385415
SC000,0,STUDY2,55,328915247.913875,0,328918.98743480246
SC000,0,STUDY2,56,328921992.046318,0,328925.587352867
SC000,0,STUDY2,57,328928593.32096,0,328932.882876631
SC000,0,STUDY2,58,328935883.09314495,0,328940.2039602815
SC000,0,STUDY2,59,328943204.942498,0,328946.8449498045
SC000,0,STUDY2,60,328949845.46111697,0,328953.70235470997
SC000,0,STUDY2,61,328956702.748378,0,328960.6175365845
