subject,session,experiment_phase,event,trial_index,noun,noun_type,noun_category,environment,test_condition,response,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,127,SKUNK,ANIMATE,mammals,beach,SAME,A,1197.883567016106,0,327511.460855066
SC000,0,STUDY1,ENCODING_LONG,128,TABLE,INANIMATE,furniture,canyon,SAME,S,2328.746590996161,0,327518.819026193
SC000,0,STUDY1,ENCODING_LONG,129,AMBULANCE,INANIMATE,vehicles,beach,SAME,S,1421.4949969900772,0,327525.267866233
SC000,0,STUDY1,ENCODING_LONG,130,HONEY,INANIMATE,food,canyon,SAME,S,1551.5140394563787,0,327531.85041049146
SC000,0,STUDY1,ENCODING_LONG,131,SHRIMP,ANIMATE,aquatic_species,sand_dunes,SAME,A,1680.2575425244868,0,327538.5586514775
SC000,0,STUDY1,ENCODING_LONG,132,TRACTOR,INANIMATE,vehicles,sand_dunes,SAME,S,1983.7921794969589,0,327545.5720970975
SC000,0,STUDY1,ENCODING_LONG,133,EEL,ANIMATE,aquatic_species,sand_dunes,REARRANGED,A,1315.5655995360576,0,327551.92794367555
SC000,0,STUDY1,ENCODING_LONG,134,JELLYFISH,ANIMATE,aquatic_species,beach,REARRANGED,A,1575.4758910043165,0,327558.530621487
SC000,0,STUDY1,ENCODING_LONG,135,BULLDOZER,INANIMATE,vehicles,beach,REARRANGED,S,1605.6286899838597,0,327565.169635488
SC000,0,STUDY1,ENCODING_LONG,136,BUFFALO,ANIMATE,mammals,sand_dunes,SAME,A,1182.2056559612975,0,327571.38109042996
SC000,0,STUDY1,ENCODING_LONG,137,TOGA,INANIMATE,clothing,sand_dunes,REARRANGED,S,1230.1750970073044,0,327577.640862791
SC000,0,STUDY1,ENCODING_LONG,138,OCTOPUS,ANIMATE,aquatic_species,canyon,SAME,A,1655.2902534604073,0,327584.3237906875
SC000,0,STUDY1,ENCODING_LONG,139,MIRROR,INANIMATE,furniture,canyon,SAME,S,2733.5519249900244,0,327592.086904529
SC000,0,STUDY1,ENCODING_LONG,140,STROLLER,INANIMATE,vehicles,canyon,REARRANGED,S,1691.2785384920426,0,327598.8024988355
SC000,0,STUDY1,ENCODING_LONG,141,ROCKET,INANIMATE,vehicles,sand_dunes,REARRANGED,S,1845.8140864386223,0,327605.67719451746
SC000,0,STUDY1,ENCODING_LONG,142,SEAL,ANIMATE,aquatic_species,beach,SAME,A,1475.8444925537333,0,327612.1807446965
SC000,0,STUDY1,ENCODING_LONG,143,WHALE,ANIMATE,aquatic_species,canyon,SAME,A,2475.0363899511285,0,327619.68526609195
SC000,0,STUDY1,ENCODING_LONG,144,NECKLACE,INANIMATE,clothing,sand_dunes,SAME,S,1949.1761085228063,0,327626.6787631025
SC000,0,STUDY1,ENCODING_LONG,145,OCTOPUS,ANIMATE,aquatic_species,canyon,SAME,A,2151.837433979381,0,327633.870884161
SC000,0,STUDY1,ENCODING_LONG,146,FOX,ANIMATE,mammals,canyon,REARRANGED,A,1277.8474824735895,0,327640.1759062545
SC000,0,STUDY1,ENCODING_LONG,147,BULLDOZER,INANIMATE,vehicles,beach,REARRANGED,S,1532.1253209840506,0,327646.73428091
SC000,0,STUDY1,ENCODING_LONG,148,HELICOPTER,INANIMATE,vehicles,beach,SAME,S,1227.4060209747404,0,327652.989207002
SC000,0,STUDY1,ENCODING_LONG,149,FLAMINGO,ANIMATE,birds,sand_dunes,REARRANGED,A,1218.474082998,0,327659.232389271
SC000,0,STUDY1,ENCODING_LONG,150,OFFICER,ANIMATE,people,sand_dunes,SAME,A,1850.4515109816566,0,327666.109905974
SC000,0,STUDY1,ENCODING_LONG,151,MITTEN,INANIMATE,clothing,canyon,SAME,S,1399.0934339817613,0,327672.534043171
SC000,0,STUDY1,ENCODING_LONG,152,PILLOW,INANIMATE,furniture,sand_dunes,REARRANGED,S,2209.4081779941916,0,327679.768487126
SC000,0,STUDY1,ENCODING_LONG,153,SLUG,ANIMATE,aquatic_species,canyon,REARRANGED,A,1256.430338951759,0,327686.049087827
SC000,0,STUDY1,ENCODING_LONG,154,SHARK,ANIMATE,aquatic_species,sand_dunes,SAME,A,1748.8864150363952,0,327692.823240493
SC000,0,STUDY1,ENCODING_LONG,155,CLOWN,ANIMATE,people,canyon,SAME,A,2074.3614539969712,0,327699.937840915
SC000,0,STUDY1,ENCODING_LONG,156,ROCKET,INANIMATE,vehicles,sand_dunes,REARRANGED,S,1857.9810439841822,0,327706.820147585
SC000,0,STUDY1,ENCODING_LONG,157,JEEP,INANIMATE,vehicles,canyon,SAME,A,2130.7883855188265,0,327713.9780467545
SC000,0,STUDY1,ENCODING_LONG,158,PARROT,ANIMATE,birds,canyon,SAME,A,1681.6786724957637,0,327720.6850001125
SC000,0,STUDY1,ENCODING_LONG,159,CHAIR,INANIMATE,furniture,canyon,REARRANGED,S,1178.9905314799398,0,327726.90435463446
SC000,0,STUDY1,ENCODING_LONG,160,GIRAFFE,ANIMATE,mammals,beach,SAME,A,1709.0041894698516,0,327733.6381656005
SC000,0,STUDY1,ENCODING_LONG,161,SANDAL,INANIMATE,clothing,sand_dunes,SAME,S,1684.8121109651402,0,327740.348302637
SC000,0,STUDY1,ENCODING_LONG,162,TANK,INANIMATE,vehicles,canyon,SAME,S,1783.604029507842,0,327747.1607679095
SC000,0,STUDY1,ENCODING_LONG,163,EEL,ANIMATE,aquatic_species,sand_dunes,REARRANGED,A,2530.275925528258,0,327754.7178221765
SC000,0,STUDY1,ENCODING_LONG,164,AMBULANCE,INANIMATE,vehicles,beach,SAME,S,2486.05010000756,0,327762.243991746
SC000,0,STUDY1,ENCODING_LONG,165,ROBIN,ANIMATE,birds,sand_dunes,SAME,A,2349.712337483652,0,327769.6190224275
SC000,0,STUDY1,ENCODING_LONG,166,WOLF,ANIMATE,mammals,canyon,SAME,A,1229.4216974987648,0,327775.8779165215
SC000,0,STUDY1,ENCODING_LONG,167,STOOL,INANIMATE,furniture,sand_dunes,SAME,S,1533.7488035438582,0,327782.4524164025
SC000,0,STUDY1,ENCODING_LONG,168,PANTS,INANIMATE,clothing,beach,SAME,S,1903.8155555026606,0,327789.3816889415
SC000,0,STUDY1,ENCODING_LONG,169,JAGUAR,ANIMATE,mammals,sand_dunes,SAME,A,1215.6534264795482,0,327795.6286362645
SC000,0,STUDY1,ENCODING_LONG,170,PILOT,ANIMATE,people,beach,REARRANGED,A,1200.6654280121438,0,327801.859899841
SC000,0,STUDY1,ENCODING_LONG,171,WAGON,INANIMATE,vehicles,sand_dunes,SAME,S,1492.4989540013485,0,327808.377115932
SC000,0,STUDY1,ENCODING_LONG,172,BUFFALO,ANIMATE,mammals,sand_dunes,SAME,A,1810.8391074929386,0,327815.2176797425
SC000,0,STUDY1,ENCODING_LONG,173,SOCK,INANIMATE,clothing,canyon,SAME,S,2216.3721750257537,0,327822.473834448
SC000,0,STUDY1,ENCODING_LONG,174,SEAL,ANIMATE,aquatic_species,beach,SAME,A,1107.106500538066,0,327828.6084141195
SC000,0,STUDY1,ENCODING_LONG,175,WOODPECKER,ANIMATE,birds,sand_dunes,SAME,A,1680.2147234557196,0,327835.31572781247
SC000,0,STUDY1,ENCODING_LONG,176,KETCHUP,INANIMATE,food,beach,SAME,S,1281.3440055469982,0,327841.62527732353
SC000,0,STUDY1,ENCODING_LONG,177,STUDENT,ANIMATE,people,canyon,SAME,A,1102.8518335078843,0,327847.7528980695
SC000,0,STUDY1,ENCODING_LONG,178,SHRIMP,ANIMATE,aquatic_species,sand_dunes,SAME,A,1444.158355530817,0,327854.2217362505
SC000,0,STUDY1,ENCODING_LONG,179,SWEATER,INANIMATE,clothing,canyon,REARRANGED,S,1718.3235959964804,0,327860.980082892
SC000,0,STUDY1,ENCODING_LONG,180,OVERALLS,INANIMATE,clothing,beach,SAME,S,3030.833260039799,0,327869.049260309
SC000,0,STUDY1,ENCODING_LONG,181,APPLE,INANIMATE,food,beach,REARRANGED,S,1378.0093864770606,0,327875.4670328065
SC000,0,STUDY1,ENCODING_LONG,182,WHALE,ANIMATE,aquatic_species,canyon,SAME,A,1562.3596094665118,0,327882.0700478235
SC000,0,STUDY1,ENCODING_LONG,183,TOGA,INANIMATE,clothing,sand_dunes,REARRANGED,S,1412.4762374558486,0,327888.5082948115
SC000,0,STUDY1,ENCODING_LONG,184,CROW,ANIMATE,birds,beach,REARRANGED,A,1594.9248149991035,0,327895.132245317
SC000,0,STUDY1,ENCODING_LONG,185,JUDGE,ANIMATE,people,canyon,REARRANGED,A,1307.1288735372946,0,327901.48319867754
SC000,0,STUDY1,ENCODING_LONG,186,SINGER,ANIMATE,people,sand_dunes,SAME,A,1437.6883964869194,0,327907.9490671425
SC000,0,STUDY1,ENCODING_LONG,187,GRILL,INANIMATE,furniture,beach,SAME,S,1195.2661200193688,0,327914.169356626
SC000,0,STUDY1,ENCODING_LONG,188,HAWK,ANIMATE,birds,canyon,REARRANGED,A,1664.7185710025951,0,327920.874532311
SC000,0,STUDY1,ENCODING_LONG,189,PRIEST,ANIMATE,people,sand_dunes,REARRANGED,A,1444.235266011674,0,327927.359562114
SC000,0,STUDY1,ENCODING_LONG,190,MUFFIN,INANIMATE,food,sand_dunes,REARRANGED,S,1460.9379385365173,0,327933.8506252585
SC000,0,STUDY1,ENCODING_LONG,191,TURKEY,ANIMATE,birds,beach,SAME,A,2128.50068701664,0,327941.004578973
SC000,0,STUDY1,ENCODING_LONG,192,KOALA,ANIMATE,mammals,canyon,SAME,A,1116.5809720405377,0,327947.14778888505
