subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,186,327904483.81308097,327904511.37874603,327906503.693618,1437.6883964869194,0,327907.9490671425
SC000,0,STUDY1,ENCODING_LONG,187,327910954.271434,327910974.09050596,327912962.569063,1195.2661200193688,0,327914.169356626
SC000,0,STUDY1,ENCODING_LONG,188,327917169.86769,327917209.81374,327919181.111105,1664.7185710025951,0,327920.874532311
SC000,0,STUDY1,ENCODING_LONG,189,327923875.196297,327923915.326848,327925886.7331,1444.235266011674,0,327927.359562114
SC000,0,STUDY1,ENCODING_LONG,190,327930360.26027,327930389.68732,327932377.75441104,1460.9379385365173,0,327933.8506252585
SC000,0,STUDY1,ENCODING_LONG,191,327936856.08287203,327936876.078286,327938864.150053,2128.50068701664,0,327941.004578973
SC000,0,STUDY1,ENCODING_LONG,192,327944010.147069,327944031.207913,327946018.822911,1116.5809720405377,0,327947.14778888505
SC000,0,STUDY1,ENCODING_LONG,193,327950148.298864,327950187.753116,327952160.309964,2271.4187655365095,0,327954.45917188155
SC000,0,STUDY1,ENCODING_LONG,194,327957459.651492,327957489.904826,327959482.211739,2608.217087981757,0,327962.09812191396
SC000,0,STUDY1,ENCODING_LONG,195,327965098.275296,327965126.547125,327967114.785622,3087.0707365102135,0,327970.2136178615
SC000,0,STUDY1,ENCODING_LONG,196,327973213.960693,327973243.493983,327975234.883351,934.8098560003564,0,327976.178303839
SC000,0,STUDY1,ENCODING_LONG,197,327979185.42043203,327979205.239133,327981193.39914703,985.007064009551,0,327982.190246197
SC000,0,STUDY1,ENCODING_LONG,198,327985190.341854,327985217.28541,327987205.640572,1942.4586170352995,0,327989.159744027
SC000,0,STUDY1,ENCODING_LONG,199,327992159.860025,327992187.555375,327994177.019957,1351.2563885306008,0,327995.5388117635
SC000,0,STUDY1,ENCODING_LONG,200,327998543.639509,327998563.60873204,328000551.331239,1446.014467976056,0,328002.0096232
SC000,0,STUDY1,ENCODING_LONG,201,328005009.90917,328005037.49211204,328007023.20126003,1547.8145934757777,0,328008.5853067055
SC000,0,STUDY1,ENCODING_LONG,202,328011585.834071,328011616.12914604,328013604.875131,1653.2317769597284,0,328015.269360923
SC000,0,STUDY1,ENCODING_LONG,203,328018273.830756,328018293.499297,328020284.18343604,1228.3345579635352,0,328021.52183385496
SC000,0,STUDY1,ENCODING_LONG,204,328024522.417336,328024550.006615,328026538.064352,1164.0353089896962,0,328027.714041924
SC000,0,STUDY1,ENCODING_LONG,205,328030714.326807,328030743.274876,328032734.023265,2113.2261430029757,0,328034.856501019
SC000,0,STUDY1,ENCODING_LONG,206,328037857.328197,328037899.502496,328039870.686189,982.3076674947515,0,328040.8818101635
SC000,0,STUDY1,ENCODING_LONG,207,328043882.070297,328043922.042242,328045895.99773,1118.8780014635995,0,328047.0409202435
SC000,0,STUDY1,ENCODING_LONG,208,328050045.915253,328050065.395487,328052053.68744403,2699.3252240354195,0,328054.76472071104
SC000,0,STUDY1,ENCODING_LONG,209,328057764.942626,328057799.15237004,328059770.80291104,1097.1343694836833,0,328060.8962867395
SC000,0,STUDY1,ENCODING_LONG,210,328063896.970637,328063936.43609303,328065908.89628,1429.3631440377794,0,328067.36579923704
SC000,0,STUDY1,ENCODING_LONG,211,328070365.946287,328070393.27243096,328072384.515353,1035.9805815387517,0,328073.4292530125
SC000,0,STUDY1,ENCODING_LONG,212,328076433.149741,328076453.10257703,328078441.716876,1798.1251159799285,0,328080.251227693
SC000,0,STUDY1,ENCODING_LONG,213,328083255.829023,328083275.513305,328085266.863702,1527.6248605223373,0,328086.8031381655
